ID,Score
0603,8
0223,44
0195,11
0278,33
0544,82
0190,74
0559,27
0238,23
0250,32
0560,55
0065,54
0113,10
0599,91
0100,42
0177,37
0471,69
0303,42
0235,28
0591,87
0288,93
0268,65
0307,76
0385,57
0037,31
0502,79
0481,40
0362,61
0451,2
0229,86
0355,1
0057,49
0033,84
0168,16
0321,22
0095,82
0260,9
0310,70
0581,44
0526,96
0444,83
0017,10
0493,8
0269,9
0427,55
0610,24
0126,54
0491,70
0416,90
0147,58
0336,50
0497,13
0327,64
0254,77
0040,69
0259,57
0059,52
0423,94
0575,66
0055,69
0293,31
0132,97
0547,44
0359,2
0161,77
0414,43
0211,38
0244,22
0332,21
0516,83
0397,32
0455,50
0215,46
0256,14
0239,7
0600,29
0039,53
0172,23
0403,57
0392,58
0380,62
0520,34
0074,66
0409,39
0203,77
0469,36
0275,95
0144,45
0281,65
0370,86
0208,52
0060,65
0247,95
0197,80
0489,65
0142,9
0198,47
0324,50
0515,54
0348,1
0536,78
0266,77
0546,21
0510,95
0140,48
0400,1
0504,26
