ID,CLASS,GRADE
1,15,30
2,14,27
3,14,
4,14,
5,15,
6,14,
7,14,
8,15,
9,15,
10,14,32
11,15,26
12,0,
13,14,31
14,15,28
15,0,
16,14,
17,15,
18,14,30
19,14,
20,15,
21,14,31
22,14,25
23,15,
24,14,31
25,14,
26,14,
27,15,
28,15,
29,15,
30,15,27
31,15,
32,14,
33,15,29
34,14,
35,14,
36,14,31
37,15,
38,14,
39,15,23
40,14,30
41,15,31
42,14,
43,14,
44,14,30
45,15,
46,15,25
47,15,28
48,14,
49,14,31
50,14,30
51,14,
52,15,
53,15,31
54,15,
55,15,26
56,14,31
57,0,
58,14,
59,14,31
60,14,
61,14,
62,15,24
63,15,
64,0,18
65,14,
66,15,
67,15,32
68,15,31
69,15,29
70,14,30
71,14,
72,14,31
73,15,
74,15,32
75,15,
76,14,
77,0,29
78,14,
79,15,
80,15,
81,15,32
82,14,31
83,15,
84,0,
85,0,
86,14,31
87,15,18
88,15,
89,14,
90,14,
91,14,
92,14,
93,15,30
94,15,
95,14,29
96,15,31
97,15,
98,0,18
99,0,
100,14,
101,14,
102,15,30
103,15,
104,15,
105,15,32
106,14,
107,15,
108,15,
109,15,30
110,14,31
111,15,
112,15,30
113,0,
114,15,
115,14,
116,14,
117,14,
118,0,29
119,15,
120,15,31
121,15,32
122,15,
123,14,14
124,14,31
125,14,31
126,0,29
127,0,
128,15,
129,14,
130,15,32
131,15,
132,15,31
133,15,
134,15,
135,14,
136,15,
137,0,31
138,15,31
139,15,
140,15,
141,14,
142,15,31
143,14,
144,0,
145,0,
146,14,
147,14,
148,0,
149,15,31
150,15,
151,0,29
152,14,
153,15,32
154,14,
155,14,
156,15,
157,14,31
158,14,
159,15,30
160,0,
161,15,27
162,14,32
163,15,
164,15,29
165,14,
166,14,
167,14,31
168,14,
169,15,31
170,14,
171,14,
172,15,31
173,15,
174,15,
175,14,
176,15,22
177,14,
178,15,
179,15,
180,14,32
181,15,
182,15,29
183,15,
184,14,
185,14,
186,0,
187,15,31
188,0,
189,14,32
190,14,
191,15,
192,0,
193,14,32
194,14,
195,14,
196,15,
197,0,22
198,15,31
199,14,23
200,15,31
201,15,30
202,14,
203,15,
204,15,
205,14,32
206,15,31
207,14,
